Pallet_ID,Location_Code,Product_Code,Product_Name,Product_Category,Temperature_Zone,Lot_Number,Quantity,Unit,Received_Date,Last_Movement_Date,Status,Zone,Aisle,Rack,Position,Level,Expiry_Date,Priority,Customer_Code
PLT-001,RECV-01,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,FREEZER,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-08-15 08:00:00,ACTIVE,RECEIVING,,,,,2024-12-15,HIGH,CUST-001
PLT-002,RECV-01,PROD-FROZEN-002,Ice Cream Tubs,FROZEN,FREEZER,LOT2024002,36,Cases,2024-08-15 09:00:00,2024-08-15 09:00:00,ACTIVE,RECEIVING,,,,,2024-11-30,HIGH,CUST-002
PLT-003,RECV-01,PROD-FROZEN-003,Frozen Vegetables,FROZEN,FREEZER,LOT2024003,48,Cases,2024-08-15 10:00:00,2024-08-15 10:00:00,ACTIVE,RECEIVING,,,,,2025-02-28,MEDIUM,CUST-003
PLT-004,RECV-02,PROD-DRY-001,Cereal Boxes,DRY,AMBIENT,LOT2024004,60,Cases,2024-08-20 14:00:00,2024-08-20 14:00:00,ACTIVE,RECEIVING,,,,,2025-08-20,MEDIUM,CUST-004
PLT-005,RECV-02,PROD-DRY-002,Pasta Packages,DRY,AMBIENT,LOT2024005,72,Cases,2024-08-21 09:30:00,2024-08-21 09:30:00,ACTIVE,RECEIVING,,,,,2025-12-21,LOW,CUST-005
PLT-006,01-A-01-A,PROD-FROZEN-001,Frozen Pizza Boxes,FROZEN,AMBIENT,LOT2024001,24,Cases,2024-08-15 08:00:00,2024-08-22 10:00:00,ACTIVE,GENERAL,01,A,01,A,2024-12-15,HIGH,CUST-001
PLT-007,01-A-02-B,PROD-CHEM-001,Industrial Cleaner,CHEMICAL,AMBIENT,LOT2024006,12,Bottles,2024-08-18 11:00:00,2024-08-22 11:00:00,ACTIVE,GENERAL,01,A,02,B,2026-08-18,HIGH,CUST-006
PLT-008,01-A-03-C,PROD-FOOD-001,Canned Tomatoes,FOOD,AMBIENT,LOT2024007,96,Cans,2024-08-19 13:00:00,2024-08-22 13:00:00,ACTIVE,GENERAL,01,A,03,C,2026-08-19,MEDIUM,CUST-007
PLT-009,01-A-04-D,PROD-PHARMA-001,Antibiotics,PHARMACEUTICAL,COLD,LOT2024008,48,Bottles,2024-08-20 15:00:00,2024-08-22 15:00:00,ACTIVE,GENERAL,01,A,04,D,2025-08-20,CRITICAL,CUST-008
PLT-010,01-A-05-A,PROD-DRY-001,Cereal Boxes,DRY,AMBIENT,LOT2024004,60,Cases,2024-08-20 14:00:00,2024-08-22 16:00:00,ACTIVE,GENERAL,01,A,05,A,2025-08-20,MEDIUM,CUST-004
